location,age,population
06,55,509117
06,56,503162
06,57,495532
06,58,495917
06,59,505049
06,60,475931
06,61,467635
06,62,457974
06,63,440328
06,64,435990
06,65,411959
06,66,392969
06,67,371355
06,68,358803
06,69,354786
06,70,334996
06,71,325934
06,72,330822
06,73,255411
06,74,249635
06,75,233568
06,76,229072
06,77,200181
06,78,182011
06,79,172849
06,80,158877
06,81,148337
06,82,135255
06,83,124947
06,84,116502
06,85,749846
08,0,64561
08,1,64867
08,2,66298
08,3,67828
08,4,68647
08,5,68470
08,6,68016
08,7,68582
08,8,70351
08,9,71364
08,10,71018
08,11,72673
08,12,73645
08,13,73125
08,14,73078
08,15,73342
08,16,72647
08,17,71007
08,18,73449
08,19,75003
08,20,71850
08,21,71793
08,22,74781
08,23,77245
08,24,82096
08,25,86227
08,26,90358
08,27,93888
08,28,95463
08,29,95224
08,30,91830
08,31,90057
08,32,90123
08,33,90659
08,34,89525
08,35,86349
08,36,86331
08,37,85047
08,38,83808
08,39,83982
08,40,77814
08,41,75900
08,42,74139
08,43,71342
08,44,73359
08,45,70361
08,46,69985
08,47,72561
08,48,75941
08,49,76387
08,50,71704
08,51,67944
08,52,65518
08,53,65720
08,54,70029
08,55,71709
08,56,72142
08,57,72557
08,58,74063
08,59,74506
08,60,71890
08,61,71107
08,62,70373
08,63,67763
08,64,66903
08,65,64280
08,66,62246
08,67,59165
08,68,56363
08,69,54242
08,70,51627
08,71,50303
08,72,51833
08,73,36767
08,74,35305
08,75,33441
08,76,32734
08,77,27949
08,78,24824
08,79,22850
08,80,21094
08,81,19458
08,82,17348
08,83,15994
08,84,14668
08,85,89921
09,0,34625
09,1,35542
09,2,36346
09,3,37139
09,4,38058
09,5,38066
09,6,38190
09,7,38800
09,8,39802
09,9,39880
09,10,40641
09,11,42251
09,12,43045
09,13,43714
09,14,44611
09,15,45230
09,16,45467
09,17,46033
09,18,50348
09,19,51794
09,20,52289
09,21,50276
09,22,47651
09,23,44742
09,24,44973
09,25,45726
09,26,46169
09,27,45040
09,28,44190
09,29,44332
09,30,43474
09,31,44347
09,32,44340
09,33,45398
09,34,45013
09,35,43998
09,36,43968
09,37,44184
09,38,43319
09,39,44386
